Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
B-015,SHA-0061,16A PlugTop Brass (4.86 kg),BRASS,,827,612883.72,10-11-2025,Slow-Moving,75
11108-W,LF-HAR-E57,Smile 8HM Plate - W,MODULAR,STATUS,7880,606286.19,12-11-2025,Slow-Moving,73
PWD-080,LF-HAR-E57,Masterbatch Platinum PC 217440145 (4%),PC,,1069,601734.34,06-10-2025,Slow-Moving,110
1208-W,IN_TRANSIT,Smartwood 8HM Plate - W,MODULAR,STATUS,10463,600491.76,12-11-2025,Slow-Moving,73
B-005,LF-HAR-E57,15 TC with stud (0.38 kg),BRASS,,748,600017.53,13-11-2025,Slow-Moving,72
FG-6612,LF-VAS-006,,FG,,5650,597681.0,13-11-2025,Slow-Moving,72
9871-W,LF-HAR-E57,Broad 1way Switch 16AX - W,MODULAR,STATUS,15600,593424.0,01-09-2025,Slow-Moving,145
MLWM-2406-C,LF-AND-28,,MOULDING WITH MTRL,,50822,589086.72,06-11-2025,Slow-Moving,79
MCB-065,LF-DEL-01,,MCB,,92558,586150.0,13-11-2025,Slow-Moving,72
16436-CL,IN_TRANSIT,Skylight 36W LED Iris T - 8 - CL,LIGHTING,SKYLIGHT LED,4084,583539.9,12-11-2025,Slow-Moving,73
22041-G,IN_TRANSIT,Status Universal Socket 6/16A (Grey) - G,MODULAR,STATUS - GREY ACC,10899,579498.97,13-11-2025,Slow-Moving,72
3116-W,IN_TRANSIT,TripRite C - MCB 16A SP - W,MCB,TRIPRITE MCB,13588,572567.4400000001,11-11-2025,Slow-Moving,74
19066-G,IN_TRANSIT,Estella Universal Socket 6/16A with Shutter (Grey) - G,MODULAR,ESTELLA,8446,564797.64,13-11-2025,Slow-Moving,72
19061-G,IN_TRANSIT,Estella 3 Pin Socket 6A (Grey) - G,MODULAR,ESTELLA,22239,564484.18,13-11-2025,Slow-Moving,72
9261-W,LF-HAR-E57,Status Bell Push 6AX - W,MODULAR,STATUS,17600,564091.18,12-11-2025,Slow-Moving,73
9601-W,LD-RAI-022,,MODULAR,STATUS,54394,563633.46,07-11-2025,Slow-Moving,78
9601-W,LD-PAT-021,,MODULAR,STATUS,36619,563400.0,24-10-2025,Slow-Moving,92
6612-W,LD-CUT-003,,MODULAR,MODULAR BOXES,2100,562748.17,17-10-2025,Slow-Moving,99
16012-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,1227,559961.48,12-11-2025,Slow-Moving,73
2506-MW,LF-HAR-E57,Soft Batten Holder with OBR - MW,SUPPORTED,VALUE,23100,556945.6,12-11-2025,Slow-Moving,73
1212-W,IN_TRANSIT,Smartwood 12M Plate - W,MODULAR,STATUS,6882,556236.78,10-11-2025,Slow-Moving,75
5263-W,LF-DEL-01,TripRite R.C.C.B 63A D.P. (30mA) - W,MCB,TRIPRITE MCB,170,555615.2,01-09-2025,Slow-Moving,145
B-125,LF-HAR-E57,EX TC SCREW (Silver Plating),BRASS,,3020,555343.0,13-11-2025,Slow-Moving,72
PK-O-9251,LF-HAR-E57,Status 6A Swt Printed Outer,PACKAGING,,24162,548649.52,18-10-2025,Slow-Moving,98
3910-W,LF-DEL-01,Power DBS 10 Way SPN - W,MCB,TRIPRITE MCB,715,547856.75,01-09-2025,Slow-Moving,145
2406-MW,LD-RAI-022,,NON-MODULAR,GOLD,8589,542174.56,12-11-2025,Slow-Moving,73
11104-W,LF-HAR-E57,Smile 4M Plate - W,MODULAR,STATUS,18460,541905.21,12-11-2025,Slow-Moving,73
9416-W,IN_TRANSIT,Status Universal Socket 6/16A with Shutter - W,MODULAR,STATUS,10068,540217.97,13-11-2025,Slow-Moving,72
2396-MW,IN_TRANSIT,Ring Batten Holder - MW,SUPPORTED,VALUE,33803,539922.77,13-11-2025,Slow-Moving,72
21041-W,LF-HAR-E57,Teron Universal Socket 6/16A - W,MODULAR,TERON,3360,538438.4,06-10-2025,Slow-Moving,110
C-153,LF-SIL-017,Porc 32/415 Cutting Part,CUTTING,,24660,537110.0,10-11-2025,Slow-Moving,75
MCB-24112,LF-DEL-01,FG  -  Bold Dbs 12way (Spn),FG,,1325,536625.0,12-11-2025,Slow-Moving,73
B-002,LF-SIL-017,Baida STC (0.188 kg),BRASS,,781,535350.46,11-10-2025,Slow-Moving,105
PWD-101,LF-SIL-017,Gold Urea (2567) for 6A,UREA,,5554,534000.0,24-10-2025,Slow-Moving,92
C-085,LF-HAR-E57,Status 16A Shutter Soc Cutting Part Set,CUTTING,,33120,532900.8,01-09-2025,Slow-Moving,145
17100-CL,IN_TRANSIT,,LIGHTING,SKYLIGHT LED,642,532846.68,12-11-2025,Slow-Moving,73
9316-W,LF-HAR-E57,,MODULAR,STATUS,4760,532734.8,12-11-2025,Slow-Moving,73
9386-W,LF-AND-28,,MODULAR,STATUS,24384,530877.52,12-11-2025,Slow-Moving,73
PWD-061,LF-SIL-017,Gold Urea (2215) for 6A,UREA,,4377,527325.0,24-10-2025,Slow-Moving,92
3276-W,IN_TRANSIT,Regency Musical Chime - W,SUPPORTED,VALUE,4173,526614.98,13-11-2025,Slow-Moving,72
