Vendor,Total_POs,On_Time_POs,Delayed_POs,On_Time %
SACHIN VARMA,1.0,0.0,1.0,0.0
SADGURU INDUSTRIES,6.0,4.0,2.0,66.67
SAI ENTERPRISES (VENDOR),4.0,1.0,3.0,25.0
SAI PRASAD ELECTRIC WORKS,8.0,5.0,3.0,62.5
SAINATH BACKLITE MOULDING - JW,3.0,1.0,2.0,33.33
SANDEEP KUMAR,2.0,1.0,1.0,50.0
SANDHYA DEVI,1.0,0.0,1.0,0.0
SANGEETA PATEL - JW,1.0,1.0,0.0,100.0
SATISH KUMAR MAURYA - JW,18.0,12.0,6.0,66.67
SATYAM SPRING WORKS,3.0,3.0,0.0,100.0
SAURABH PATEL,4.0,2.0,2.0,50.0
SEEMA DEVI - JW,1.0,1.0,0.0,100.0
SHALU - JW,4.0,1.0,3.0,25.0
SHANTIDEVI-JW,8.0,5.0,3.0,62.5
SHIV ENTERPRISES,7.0,5.0,2.0,71.43
SHIVAKESH PATEL,31.0,29.0,2.0,93.55
SHIVAM ENTERPRISES,5.0,2.0,3.0,40.0
SHIVOM PRINTERS,1.0,1.0,0.0,100.0
SHIVPAL ENTERPRISE,6.0,4.0,2.0,66.67
SHOBHA DEVI,8.0,6.0,2.0,75.0
SHREE ADITYA POLYSPIN INDUSTRIES,2.0,2.0,0.0,100.0
SHREE BALAJI PRINTERS,31.0,19.0,12.0,61.29
SHREE BHERUNATH ENTERPRISES,4.0,4.0,0.0,100.0
SHREE RADHIKA PLAST LLP,1.0,1.0,0.0,100.0
SHREE VINAYAK MARKETING,1.0,0.0,1.0,0.0
SHREEDUTT INDUSTRIES,5.0,0.0,5.0,0.0
SHRI RAM PETRO TRADE PRIVATE LIMITED,19.0,17.0,2.0,89.47
SIDDHARTH ONE,3.0,3.0,0.0,100.0
SIDDHISAI INDUSTRIES,3.0,0.0,3.0,0.0
SRI DURGE ENTERPRISES,7.0,3.0,4.0,42.86
SRI MADHAV PACKERS,1.0,1.0,0.0,100.0
SSG ENERGY INDIA PVT LTD,2.0,0.0,2.0,0.0
STAR ENTERPRISE,1.0,0.0,1.0,0.0
STREAMLINE OVERSEAS,3.0,1.0,2.0,33.33
SULOCHANA ORGANIC (P) LTD,2.0,0.0,2.0,0.0
SUN LABEL MANUFACTURING,4.0,4.0,0.0,100.0
