Item No.,Location Code,Description,Category,Subcategory,On_Hand,Stock_Value,Last Outward Date,Days Dormant,Status,Days Dormant Display
PK-I-14906,LF-VAS-006,Hi Glass 6M Inner,PACKAGING,,156.0,1076.4,2025-10-28,71.0,Slow-Moving,71.0
PK-I-14909,LF-VAS-006,Hi Glass 8Sq Inner,PACKAGING,,362.0,2841.7,,,Dead,Never Moved
PK-I-1491,LF-SIL-017,Gold 16A Swt Inner,PACKAGING,,10030.0,25642.5,2025-11-08,60.0,Active,60.0
PK-I-14912,LF-VAS-006,Hi Glass 12M Inner,PACKAGING,,471.0,4380.3,,,Dead,Never Moved
PK-I-1621,LF-AND-28,,PACKAGING,,15082.0,16800.0,2025-11-12,56.0,Active,56.0
PK-I-1621,LF-SIL-017,Gold 3pin Socket Inner,PACKAGING,,172993.0,108698.23999999999,2025-11-13,55.0,Active,55.0
PK-I-1686,LF-HAR-E57,Gold 16A Soc Inner,PACKAGING,,21000.0,27300.0,2025-11-10,58.0,Active,58.0
PK-I-1686,LF-SIL-017,Gold 16A Soc Inner,PACKAGING,,29740.0,65000.0,2025-11-13,55.0,Active,55.0
PK-I-1831,LF-SIL-017,Gold Ind Inner,PACKAGING,,18100.0,8507.0,2025-11-07,61.0,Slow-Moving,61.0
PK-I-1861,LF-SIL-017,Gold KK Inner,PACKAGING,,9000.0,5220.0,2025-11-08,60.0,Active,60.0
PK-I-1916,LF-SIL-017,,PACKAGING,,11200.0,15680.0,2025-10-17,82.0,Slow-Moving,82.0
PK-I-1926,LF-SIL-017,,PACKAGING,,18800.0,56400.0,2025-11-08,60.0,Active,60.0
PK-I-1936,LF-SIL-017,Porc KK 63/415 Inner,PACKAGING,,10060.0,78971.0,2025-11-12,56.0,Active,56.0
PK-I-1951,LF-HAR-E57,,PACKAGING,,16800.0,14784.0,2025-11-08,60.0,Active,60.0
PK-I-1961,LF-HAR-E57,,PACKAGING,,21000.0,28140.0,2025-11-08,60.0,Active,60.0
PK-I-1971,LF-SIL-017,Sonic 16A Plug Top Inner,PACKAGING,,371.0,2233.3,2025-10-15,84.0,Slow-Moving,84.0
PK-I-1986,LF-AND-28,,PACKAGING,,32279.0,35010.0,2025-11-11,57.0,Active,57.0
PK-I-1986,LF-SIL-017,Dlx 6A Top Inner,PACKAGING,,49541.0,47662.67,2025-11-13,55.0,Active,55.0
PK-I-1991,LF-AND-28,,PACKAGING,,20829.0,32508.0,2025-11-11,57.0,Active,57.0
PK-I-1991,LF-SIL-017,,PACKAGING,,17475.0,23478.0,2025-11-13,55.0,Active,55.0
PK-I-2191,LF-SIL-017,Single Adapter Inner,PACKAGING,,37114.0,28577.78,2025-11-12,56.0,Active,56.0
PK-I-2211,LF-SIL-017,Gold 4x1 Box Inner,PACKAGING,,6237.0,23442.0,2025-11-07,61.0,Slow-Moving,61.0
PK-I-2246,LF-AND-28,,PACKAGING,,5380.0,17324.0,2025-11-13,55.0,Active,55.0
PK-I-2251,LF-AND-28,,PACKAGING,,18441.0,64877.4,2025-11-13,55.0,Active,55.0
PK-I-2251,LF-HAR-E57,Gold 3x1 Box Inner,PACKAGING,,28823.0,109288.72,2025-11-13,55.0,Active,55.0
PK-I-2251,LF-SIL-017,Gold 3x1 Box Inner,PACKAGING,,22390.0,85164.84,2025-11-13,55.0,Active,55.0
PK-I-23106,LF-DEL-01,Assure MCB SP Inner,PACKAGING,,8232.0,43336.22,2025-11-11,57.0,Active,57.0
